Source,Target,Type
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCYhH65nE2M8rGwMWvAlVu2A,Directed
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCsV_xDVe9DUY7xXq0rezB9g,Directed
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCQXxfC5_Wvlx-eywB9EmaMw,Directed
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCUvn6Rx9RA__wXipJII3h_Q,Directed
UCx-_VqUm2Lj1GJjNBLRUS2Q,UC5_cOGjJLcGtAReRVqNctKw,Directed
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCdVBgc7_SaLvkkf94GGrQtw,Directed
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCz53e-ZYQXb91S_UuRRvWWA,Directed
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCUiXbkWQPwr7CBVJOFktYzg,Directed
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCpH39b2-3Qr7HmpJw7PejLQ,Directed
UCx-_VqUm2Lj1GJjNBLRUS2Q,UC1KjWRBCUGvxDkrhu_-UBWg,Directed
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCrcUVClFXzwDOK626La8cgw,Directed
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCz9MCy8ZEm74MvBCGJKK0dA,Directed
UCx-_VqUm2Lj1GJjNBLRUS2Q,UC0F6VfbgpxEUiulohFrKGcw,Directed
UCsV_xDVe9DUY7xXq0rezB9g,UCQXxfC5_Wvlx-eywB9EmaMw,Directed
UCsV_xDVe9DUY7xXq0rezB9g,UCYhH65nE2M8rGwMWvAlVu2A,Directed
UCsV_xDVe9DUY7xXq0rezB9g,UCx-_VqUm2Lj1GJjNBLRUS2Q,Directed
UCsV_xDVe9DUY7xXq0rezB9g,UCUiXbkWQPwr7CBVJOFktYzg,Directed
UCsV_xDVe9DUY7xXq0rezB9g,UC1KjWRBCUGvxDkrhu_-UBWg,Directed
UCsV_xDVe9DUY7xXq0rezB9g,UC0F6VfbgpxEUiulohFrKGcw,Directed
UCsV_xDVe9DUY7xXq0rezB9g,UC5_cOGjJLcGtAReRVqNctKw,Directed
UCsV_xDVe9DUY7xXq0rezB9g,UCpH39b2-3Qr7HmpJw7PejLQ,Directed
UCsV_xDVe9DUY7xXq0rezB9g,UCUvn6Rx9RA__wXipJII3h_Q,Directed
UCsV_xDVe9DUY7xXq0rezB9g,UCz53e-ZYQXb91S_UuRRvWWA,Directed
UCsV_xDVe9DUY7xXq0rezB9g,UCdVBgc7_SaLvkkf94GGrQtw,Directed
UCsV_xDVe9DUY7xXq0rezB9g,UCLYj5m1_Z16_2dQfINKmi3Q,Directed
UCsV_xDVe9DUY7xXq0rezB9g,UCfGpiZatn2kcw8wTmakU7Ng,Directed
