Source,Target,Type,Id,Label,Weight
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCYhH65nE2M8rGwMWvAlVu2A,Directed,51090,,1
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCsV_xDVe9DUY7xXq0rezB9g,Directed,51091,,1
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCQXxfC5_Wvlx-eywB9EmaMw,Directed,51092,,1
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCUvn6Rx9RA__wXipJII3h_Q,Directed,51093,,1
UCx-_VqUm2Lj1GJjNBLRUS2Q,UC5_cOGjJLcGtAReRVqNctKw,Directed,51094,,1
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCdVBgc7_SaLvkkf94GGrQtw,Directed,51095,,1
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCz53e-ZYQXb91S_UuRRvWWA,Directed,51096,,1
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCUiXbkWQPwr7CBVJOFktYzg,Directed,51097,,1
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCpH39b2-3Qr7HmpJw7PejLQ,Directed,51098,,1
UCx-_VqUm2Lj1GJjNBLRUS2Q,UC1KjWRBCUGvxDkrhu_-UBWg,Directed,51099,,1
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCrcUVClFXzwDOK626La8cgw,Directed,51100,,1
UCx-_VqUm2Lj1GJjNBLRUS2Q,UCz9MCy8ZEm74MvBCGJKK0dA,Directed,51101,,1
UCx-_VqUm2Lj1GJjNBLRUS2Q,UC0F6VfbgpxEUiulohFrKGcw,Directed,51102,,1
UCsV_xDVe9DUY7xXq0rezB9g,UCQXxfC5_Wvlx-eywB9EmaMw,Directed,51103,,1
UCsV_xDVe9DUY7xXq0rezB9g,UCYhH65nE2M8rGwMWvAlVu2A,Directed,51104,,1
UCsV_xDVe9DUY7xXq0rezB9g,UCx-_VqUm2Lj1GJjNBLRUS2Q,Directed,51105,,1
UCsV_xDVe9DUY7xXq0rezB9g,UCUiXbkWQPwr7CBVJOFktYzg,Directed,51106,,1
UCsV_xDVe9DUY7xXq0rezB9g,UC1KjWRBCUGvxDkrhu_-UBWg,Directed,51107,,1
UCsV_xDVe9DUY7xXq0rezB9g,UC0F6VfbgpxEUiulohFrKGcw,Directed,51108,,1
UCsV_xDVe9DUY7xXq0rezB9g,UC5_cOGjJLcGtAReRVqNctKw,Directed,51109,,1
UCsV_xDVe9DUY7xXq0rezB9g,UCpH39b2-3Qr7HmpJw7PejLQ,Directed,51110,,1
UCsV_xDVe9DUY7xXq0rezB9g,UCUvn6Rx9RA__wXipJII3h_Q,Directed,51111,,1
UCsV_xDVe9DUY7xXq0rezB9g,UCz53e-ZYQXb91S_UuRRvWWA,Directed,51112,,1
