Id,Label,isseed,seedrank,subscribercount,videocount,viewcount(100s),country,publishedat,daysactive
UCx-_VqUm2Lj1GJjNBLRUS2Q,The Skeptic Theory,yes,1,142000,63,80719,GR,2018-06-05T18:35:38Z,2054
UCYhH65nE2M8rGwMWvAlVu2A,Astronio,yes,2,299000,110,346536,GR,2017-03-01T16:23:54Z,2515
UCsV_xDVe9DUY7xXq0rezB9g,The Mad Scientist,yes,3,116000,45,67663,GR,2016-08-14T17:06:54Z,2714
UCQXxfC5_Wvlx-eywB9EmaMw,Καθημερινή Φυσική,yes,4,275000,66,230644,GR,2015-05-20T12:36:08Z,3166
UCUvn6Rx9RA__wXipJII3h_Q,Science Behind Music,yes,5,18500,50,5400,GR,2017-06-28T16:08:35Z,2396
UC5_cOGjJLcGtAReRVqNctKw,Human Nature,yes,6,37300,34,12991,GR,2018-03-21T21:07:20Z,2130
UCdVBgc7_SaLvkkf94GGrQtw,Tech to me About it,yes,7,16400,25,2396,GR,2019-01-23T11:51:59Z,1822
UCz53e-ZYQXb91S_UuRRvWWA,Smart Chemistry,yes,8,16100,66,4647,GR,2013-09-13T12:20:18Z,3780
UCUiXbkWQPwr7CBVJOFktYzg,SciTalksGR,yes,9,36600,27,23217,GR,2017-10-01T19:13:05Z,2301
UCpH39b2-3Qr7HmpJw7PejLQ,IT S JUST PHYSICS by Christos Kiriakidis,yes,10,86900,161,142282,GR,2021-01-29T10:50:41.027086Z,1085
UC1KjWRBCUGvxDkrhu_-UBWg,Greekonomics,yes,11,161000,51,84135,GR,2020-05-06T12:51:09.678798Z,1353
UCrcUVClFXzwDOK626La8cgw,MaTh Me Up,yes,12,11800,38,4320,GR,2020-09-13T09:39:46.4559Z,1223
UCz9MCy8ZEm74MvBCGJKK0dA,Yiannis Sarakatsanis,yes,13,67400,125,41084,GR,2007-04-17T22:54:34Z,6121
UC0F6VfbgpxEUiulohFrKGcw,Stavros Louverdis,yes,14,50000,464,67269,GR,2008-04-28T16:58:28Z,5744
UCLYj5m1_Z16_2dQfINKmi3Q,Biotech Guy,yes,15,10200,16,1806,IT,2018-02-22T17:48:04Z,2157
UCfGpiZatn2kcw8wTmakU7Ng,Rogue Astrophysics,yes,16,7770,75,1297,GR,2017-10-28T09:36:23Z,2274
UCQ69ob_1gFKdvfoTrppSQPg,Didactics,yes,17,5750,13,1917,GR,2021-12-22T08:12:22.216525Z,758
